Residuos Urbanos de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;A20012563;MUNKSJÖ PAPER;2000007374;MUNSKJÖ PAPER, S.A.;Berastegi;020104;Residuos de plásticos (excepto embalajes);-//D1//-//-//-//-//-;Urbano;12040;KG
2008;A20012563;MUNKSJÖ PAPER;2000007374;MUNSKJÖ PAPER, S.A.;Berastegi;200399;Residuos municipales no especificados en otra categoría;-//D1//-//-//-//-//-;Urbano;78260;KG
2008;A20012563;MUNKSJÖ PAPER;2000007374;MUNSKJÖ PAPER, S.A.;Berastegi;030308;Residuos procedentes de la clasificación de papel y cartón destinados al reciclado;-//D1//-//-//-//-//-;Urbano;343340;KG
2008;A20012563;MUNKSJÖ PAPER;2000007374;MUNSKJÖ PAPER, S.A.;Berastegi;030104;Serrín, virutas, recortes, madera, tableros de partículas y chapas que contienen sustancias peligrosas;-//D1//-//-//-//-//-;Urbano;16700;KG
2008;B20032330;OBE HETTICH;2000004738;OBE Hettich, S.L. en Comandita;Aizarnazabal;200304;Lodos de fosas sépticas;R13;Urbano;0;KG
2008;B20032330;OBE HETTICH;2000004738;OBE Hettich, S.L. en Comandita;Aizarnazabal;200301;Mezclas de residuos municipales;R13;Urbano;5016;KG
2008;F20025318;ORONA;2000000539;ORONA S.COOP;Hernani;040299;Residuos no especificados en otra categoría;D15;Urbano;17306;KG
2008;A20613253;PAPEL ARALAR;2000007375;PAPEL ARALAR;Amezketa;200303;Residuos de limpieza viaria;D5;Urbano;136110;KG
2008;A20003216;PAPELERA GUIPUZCOANA DE ZICUÑAGA, S.A.;2000000174;PAPELERA GUIPUZCOANA DE ZICUÑAGA;Hernani;200301;Mezclas de residuos municipales;D12;Urbano;208800;KG
2008;A48565469;PAPRESA;2000000109;PAPRESA;Errenteria;200301;Mezclas de residuos municipales;R13;Urbano;41240;KG
2008;F20020517;FAGOR ELECTRODOMESTICOS;2000004895;PLANTA GARAGARTZA;Arrasate/Mondragón;200108;Residuos biodegradables de cocinas y restaurantes;D1;Urbano;16478;KG
2008;A58410176;SARRIOPAPEL Y CELULOSA;2000004709;SARRIO PAPEL -FACTORIA DE URANGA-;Berrobi;200199;Otras fracciones no especificadas en otra categoría;D1;Urbano;25359;KG
2008;B20771747;SERVICIOS ECOLOGICOS ACITAIN;2000011631;SERVICIOS ECOLOGICOS ACITAIN, S.L.;Eibar;200301;Mezclas de residuos municipales;R13;Urbano;250;KG
2008;A20516233;SNA EUROPE INDUSTRIES IBERIA;2000014673;SNA EUROPE INDUSTRIES IBERIA, S.A. (PLANTA DE IRUN);Irun;170201;Madera;R13;Urbano;7640;KG
